,name,price,size,cpu_com,cpu_gen,cpu_type,cpu,core,OS,pixel,display,ram_type,ram,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15
210,MSI Stealth 15M A11UEK 카본 그레이 WIN10,"2,079,990",39.62cm(15.6인치),인텔,코어i7-11세대,타이거레이크,쿼드코어,운영체제(OS),윈도우10,1920x1080(FHD),250nit,144Hz,광시야각,눈부심방지,슬림형 베젤,DDR4,16GB,M.2(NVMe),512GB,MAX-Q,VRAM:6GB,802.11ax(Wi-Fi 6),HDMI,웹캠(HD),USB 3.1 Type-C,USB 3.0,RGB 라이트,고속충전
211,DELL 인스피론 15 5502 DN5502-UB06KR,일시품절,39.6cm(15.6인치),인텔,코어i7-11세대,타이거레이크,i7-1165G7 (2.8GHz),쿼드코어,운영체제(OS),미포함(프리도스),1920x1080(FHD),NTSC,72%,300nit,광시야각,눈부심방지,슬림형 베젤,DDR4,16GB,M.2(NVMe),512GB,MX350,VRAM:2GB,802.11ac(Wi-Fi 5),HDMI,웹캠(HD),USB Type-C,USB 3.0
212,삼성전자 갤럭시북 플렉스 NT930QCG-K58,"1,597,950",33.7cm(13.3인치),인텔,코어i5-10세대,아이스레이크,쿼드코어,운영체제(OS),윈도우10,1920x1080(FHD),QLED,광시야각,슬림형 베젤,터치스크린,8GB,M.2(NVMe),256GB,802.11ax(Wi-Fi 6),웹캠(HD),썬더볼트3,2개,USB Type-C,UFS,키보드 라이트,지문 인식,TPM,전용 펜 지원,USB-PD
213,MSI GP시리즈 GP66 레오파드 10UH,"2,699,000",39.62cm(15.6인치),인텔,코어i7-10세대,코멧레이크,i7-10870H (2.2GHz),옥타코어,운영체제(OS),미포함(프리도스),1920x1080(FHD),300nit,240Hz,광시야각,눈부심방지,슬림형 베젤,DDR4,16GB,M.2(NVMe),1TB,VRAM:8GB,기가비트 유선랜,802.11ax(Wi-Fi 6),HDMI,웹캠(HD),USB 3.1 Type-C,USB 3.0,RGB 라이트
214,LG전자 2021 그램14 14Z90P-GA5IK,"1,637,300",35.5cm(14인치),인텔,코어i5-11세대,타이거레이크,i5-1135G7 (2.4GHz),쿼드코어,운영체제(OS),윈도우10,1920x1200(WUXGA),DCI-P3,99%,IPS,광시야각,슬림형 베젤,16GB,M.2(NVMe),256GB,802.11ax(Wi-Fi 6),HDMI,웹캠(HD),USB 3.1,UFS,USB-PD,ㅗ형 방향키,배터리,72Wh
215,MSI GF시리즈 GF75 Thin 10UEK-i7 WIN10 64GB램,"2,189,590",43.94cm(17.3인치),인텔,코어i7-10세대,코멧레이크,i7-10750H (2.6GHz),헥사코어,운영체제(OS),윈도우10,1920x1080(FHD),250nit,144Hz,광시야각,눈부심방지,슬림형 베젤,DDR4,64GB,M.2(NVMe),1TB,HDD,1TB,MAX-Q,VRAM:6GB,기가비트 유선랜,802.11ax(Wi-Fi 6),HDMI,웹캠(HD)
216,ASUS 비보북 S15 S533EQ-BN174T,"1,007,100",39.62cm(15.6인치),인텔,코어i5-11세대,타이거레이크,i5-1135G7 (2.4GHz),쿼드코어,운영체제(OS),윈도우10,1920x1080(FHD),sRGB,100%,300nit,광시야각,슬림형 베젤,DDR4,8GB,M.2(NVMe),512GB,MX350,VRAM:2GB,802.11ax(Wi-Fi 6),HDMI,웹캠(HD),USB Type-C,USB 3.0,USB 2.0
217,LG전자 2021 울트라PC 15UD50P-GX30K WIN10,"740,630",39.6cm(15.6인치),인텔,코어i3-11세대,타이거레이크,i3-1115G4 (3.0GHz),듀얼코어,운영체제(OS),윈도우10,1920x1080(FHD),IPS,광시야각,DDR4,8GB,M.2(NVMe),128GB,기가비트 유선랜,802.11ax(Wi-Fi 6),HDMI,웹캠(HD),USB 3.1 Type-C,USB 3.0,ㅗ형 방향키,숫자 키패드(3열),배터리,51Wh,두께
218,한성컴퓨터 TFX5135U,"899,000",39.62cm(15.6인치),인텔,코어i5-11세대,타이거레이크,i5-1135G7 (2.4GHz),쿼드코어,운영체제(OS),미포함(프리도스),1920x1080(FHD),NTSC,72%,sRGB,100%,300nit,광시야각,눈부심방지,슬림형 베젤,DDR4,16GB,M.2(NVMe),500GB,기가비트 유선랜,802.11ax(Wi-Fi 6),HDMI,웹캠(HD),USB Type-C
219,MSI GE시리즈 GE76 레이더 10UG,일시품절,43.94cm(17.3인치),인텔,코어i7-10세대,코멧레이크,i7-10870H (2.2GHz),옥타코어,운영체제(OS),미포함(프리도스),1920x1080(FHD),300nit,240Hz,광시야각,눈부심방지,슬림형 베젤,DDR4,16GB,M.2(NVMe),512GB,VRAM:8GB,기가비트 유선랜,HDMI,mini DP,웹캠(FHD),USB 3.1 Type-C,USB 3.1,USB 3.0
220,Razer BLADE PRO 17 10Gen R3080 4K Touch,"4,832,420",43.94cm(17.3인치),인텔,코어i7-10세대,코멧레이크,i7-10875H (2.3GHz),옥타코어,운영체제(OS),윈도우10,3840x2160(4K UHD),Adobe RGB,100%,120Hz,슬림형 베젤,터치스크린,DDR4,32GB,M.2(NVMe),1TB,VRAM:16GB,기가비트 유선랜,HDMI 2.1,웹캠(HD),썬더볼트3,1개,USB 3.1 Type-C,USB 3.1
221,LG전자 2021 울트라PC 15UD50P-KX50K 16GB램,"927,680",39.6cm(15.6인치),인텔,코어i5-11세대,타이거레이크,i5-1135G7 (2.4GHz),쿼드코어,운영체제(OS),미포함(프리도스),1920x1080(FHD),IPS,DDR4,16GB,M.2(NVMe),256GB,VRAM:2GB,기가비트 유선랜,802.11ax(Wi-Fi 6),HDMI,웹캠(HD),USB 3.1 Type-C,USB 3.0,ㅗ형 방향키,숫자 키패드(3열),배터리,52Wh,두께
222,한성컴퓨터 TFX5075G 아방가르드,"1,249,000",39.62cm(15.6인치),인텔,코어i7-10세대,코멧레이크,i7-10750H (2.6GHz),헥사코어,운영체제(OS),미포함(프리도스),1920x1080(FHD),sRGB,100%,300nit,광시야각,눈부심방지,슬림형 베젤,DDR4,16GB,M.2(NVMe),500GB,GTX1650 Ti,VRAM:4GB,기가비트 유선랜,802.11ax(Wi-Fi 6),HDMI,웹캠(HD),USB Type-C
223,삼성전자 갤럭시북 이온2 NT930XDA-K71AW,"1,758,000",33.7cm(13.3인치),인텔,코어i7-11세대,타이거레이크,i7-1165G7 (2.8GHz),쿼드코어,운영체제(OS),윈도우10,1920x1080(FHD),600nit,QLED,광시야각,슬림형 베젤,16GB,M.2(NVMe),512GB,802.11ax(Wi-Fi 6),HDMI,웹캠(HD),USB 3.0,UFS,키보드 라이트,지문 인식,TPM,고속충전,USB-PD
224,레노버 요가 Slim7 Carbon13ITL5 82EV004LKR,"1,359,000",33.7cm(13인치),인텔,코어i5-11세대,타이거레이크,i5-1135G7 (2.4GHz),쿼드코어,운영체제(OS),윈도우10,2560x1600(WQXGA),NTSC,72%,sRGB,100%,300nit,IPS,광시야각,눈부심방지,슬림형 베젤,16GB,M.2(NVMe),512GB,802.11ax(Wi-Fi 6),웹캠,USB 3.1 Type-C,키보드 라이트,MIL-STD
225,MSI GL시리즈 GL65 Leopard 10SDK,"1,148,650",39.62cm(15.6인치),인텔,코어i7-10세대,코멧레이크,i7-10750H (2.6GHz),헥사코어,운영체제(OS),미포함(프리도스),1920x1080(FHD),250nit,144Hz,광시야각,눈부심방지,슬림형 베젤,DDR4,8GB,M.2(NVMe),512GB,GTX1660 Ti,VRAM:6GB,기가비트 유선랜,802.11ax(Wi-Fi 6),HDMI,mini DP,웹캠(HD),USB 3.1 Type-C
226,MSI GF시리즈 GF65 Thin 10UE-i5,"1,271,360",39.62cm(15.6인치),인텔,코어i5-10세대,코멧레이크,i5-10200H (2.4GHz),쿼드코어,운영체제(OS),미포함(프리도스),1920x1080(FHD),250nit,144Hz,광시야각,눈부심방지,슬림형 베젤,DDR4,8GB,M.2(NVMe),512GB,MAX-Q,VRAM:6GB,기가비트 유선랜,802.11ax(Wi-Fi 6),HDMI,웹캠(HD),USB Type-C,USB 3.0
227,MSI 모던시리즈 모던14 B10MW-i5 블루 스톤 WIN10 16GB램,"836,920",35.56cm(14인치),인텔,코어i5-10세대,코멧레이크,i5-10210U (1.6GHz),쿼드코어,운영체제(OS),윈도우10,1920x1080(FHD),250nit,광시야각,눈부심방지,슬림형 베젤,DDR4,16GB,M.2(NVMe),256GB,802.11ac(Wi-Fi 5),HDMI,웹캠(HD),USB 3.1 Type-C,USB 2.0,키보드 라이트,ㅗ형 방향키,배터리,52Wh
228,레노버 플렉스5 15ALC R5 W10,"899,000",39.6cm(15.6인치),AMD,라이젠5-4세대,루시엔,5500U (2.1GHz),헥사코어,운영체제(OS),윈도우10,1920x1080(FHD),IPS,광시야각,슬림형 베젤,DDR4,8GB,M.2(NVMe),256GB,802.11ax(Wi-Fi 6),HDMI,웹캠(HD),USB Type-C,USB 3.0,키보드 라이트,지문 인식,고속충전,전용 펜 지원,USB-PD
229,레노버 LEGION 5 15ARH R5 ZEN PRO,"999,000",39.6cm(15.6인치),AMD,라이젠5-3세대,르누아르,4600H (3.0GHz),헥사코어,운영체제(OS),미포함(프리도스),1920x1080(FHD),300nit,144Hz,IPS,광시야각,눈부심방지,슬림형 베젤,DDR4,8GB,M.2(NVMe),256GB,GTX1650 Ti,VRAM:4GB,유선랜,802.11ax(Wi-Fi 6),HDMI 2.0,웹캠(HD),USB Type-C
230,MSI 크리에이터 17 A10SE HDR WIN10,"1,848,270",43.94cm(17.3인치),인텔,코어i7-10세대,코멧레이크,i7-10750H (2.6GHz),헥사코어,운영체제(OS),윈도우10,3840x2160(4K UHD),DCI-P3,100%,1180nit,광시야각,눈부심방지,슬림형 베젤,DDR4,16GB,M.2(NVMe),512GB,RTX2060,VRAM:6GB,기가비트 유선랜,802.11ax(Wi-Fi 6),HDMI,웹캠(HD),썬더볼트3
231,삼성전자 노트북 플러스2 NT560XDZ-G78A WIN10 16GB램,"1,719,090",39.6cm(15.6인치),인텔,코어i7-11세대,타이거레이크,i7-1165G7 (2.8GHz),쿼드코어,운영체제(OS),윈도우10,1920x1080(FHD),광시야각,눈부심방지,슬림형 베젤,DDR4,16GB,M.2(NVMe),256GB,GTX1650 Ti,MAX-Q,VRAM:4GB,기가비트 유선랜,802.11ac(Wi-Fi 5),HDMI,웹캠,USB Type-C,USB 3.0,USB 2.0
232,LG전자 2021 울트라PC 15U50P-KR56K,"1,189,000",39.6cm(15.6인치),인텔,코어i5-11세대,타이거레이크,i5-1135G7 (2.4GHz),쿼드코어,운영체제(OS),윈도우10,1920x1080(FHD),IPS,DDR4,8GB,M.2(NVMe),256GB,VRAM:2GB,기가비트 유선랜,802.11ax(Wi-Fi 6),HDMI,웹캠(HD),USB 3.1 Type-C,USB 3.0,ㅗ형 방향키,숫자 키패드(3열),배터리,51Wh,두께
233,MSI GP시리즈 GP75 Leopard 10SEK,"1,499,000",43.94cm(17.3인치),인텔,코어i7-10세대,코멧레이크,i7-10750H (2.6GHz),헥사코어,운영체제(OS),미포함(프리도스),1920x1080(FHD),300nit,144Hz,광시야각,눈부심방지,슬림형 베젤,DDR4,8GB,M.2(NVMe),512GB,RTX2060,VRAM:6GB,기가비트 유선랜,802.11ax(Wi-Fi 6),HDMI,mini DP,웹캠(HD),USB 3.1 Type-C
234,MSI GL시리즈 GL75 9SDK 16GB램,"1,248,990",43.94cm(17.3인치),인텔,코어i7-9세대,커피레이크-R,i7-9750H (2.6GHz),헥사코어,운영체제(OS),미포함(프리도스),1920x1080(FHD),144Hz,광시야각,눈부심방지,슬림형 베젤,DDR4,16GB,M.2(NVMe),512GB,GTX1660 Ti,VRAM:6GB,기가비트 유선랜,802.11ac(Wi-Fi 5),HDMI,mini DP,웹캠,USB Type-C,USB 3.0
235,MSI GF시리즈 GF65 Thin 10UE-i7,"1,398,990",39.62cm(15.6인치),인텔,코어i7-10세대,코멧레이크,i7-10750H (2.6GHz),헥사코어,운영체제(OS),미포함(프리도스),1920x1080(FHD),250nit,144Hz,광시야각,눈부심방지,슬림형 베젤,DDR4,8GB,M.2(NVMe),512GB,MAX-Q,VRAM:6GB,기가비트 유선랜,802.11ax(Wi-Fi 6),HDMI,웹캠(HD),USB Type-C,USB 3.0
